text,label
PROCOFSERVICES and P0118 for Empowering Tribal Communities CSCF386,Not related to climate
Enhancing Border Security in Cote d'Ivoire,Not related to climate
"Implementation of:  Gender and Equity Budgeting in six sectors, Gender Based Violence (GBV) in 13 districts and innovative approach to changing social norms (SASA)",Not related to climate
"CARE International UK, Grant - Provision of Emergency Water and Sanitation in Dadaab, 2011",Not related to climate
Building sustainable anti-corruption action in Tanzania (BSAAT),Not related to climate
Electoral observation and civil society engagement for credible elections in DRC,Not related to climate
Support to UNDP A4DES,Not related to climate
Overseas Territories VSO Programme,Not related to climate
Global Health Workforce Alliance,Not related to climate
Procurement of Family Planning Commodities,Not related to climate
FSDA - Kenya RDEL ICF Centre of Expertise,Not related to climate
DO NOT USE: Support the World Bank’s energy sector work via the Energy Sector Management Assistance Programme (ESMAP) - Growth Resilence Department funded.,Not related to climate
Research on Supply-Side Constraints for Remittances,Not related to climate
Tackling the Structural Drivers of the HIV Epidemic - Pathways for Prevention,Not related to climate
Independent Monitoring Agent (IMP),Not related to climate
Developing Midwives Project Phase 2,Not related to climate
Research on Conflict and Economic Growth in Low Income Countries,Not related to climate
"Contribution to the Sanitation, Hygiene, Infant Nutrition Efficacy project (SHINE) (RED) Research",Not related to climate
Montserrat Transport Subsidy to ensure sea and air access,Not related to climate
MULTILATORGANISATION and P0026 for Mainstreaming HIV - Malawi Programme,Not related to climate
Voluntary Core Funding Support to the United Nations Development Programme (UNDP) 2011-2015,Not related to climate
Hamro Samman Programme - Countering trafficking in persons in Nepal,Not related to climate
Support to UK Med to provide a quality assurance mechanism for UK-supported ETCs,Not related to climate
Policy Engagement and Social Accountability (PESA) Accountable Grant Agreement with ActionAid Rwanda.,Not related to climate
Strengthening UK-China infrastructure investment in developing countries as part of the Belt and Road Initiative,Not related to climate
Haiti Evaluation and Learning Support Office,Not related to climate
PROCOFSERVICES and P0051 for Rural Water Supply & Sanitation Reform Programme,Not related to climate
Support to pilot the Programme for International Student Assessment (PISA) in low income countries,Not related to climate
"Social Development Direct, Consultancy for CUTS, Ag 4037 Evaluation",Not related to climate
Provision of shelter through UNHCR & Libyan Red Crescent on Tunisian border and Ajdabya respectively.,Not related to climate
Support to GoKP for the development of GPE KP Education Sector Plan Implementation Grant (ESPIG),Not related to climate
Supporting health care in China through a public private partnership approach.,Not related to climate
Providing monitoring and evaluation support to the International Security and Stabilisation Support Strategy,Not related to climate
Practical Action Programme Partnership Arrangement,Not related to climate
Carnegie Middle East Centre,Not related to climate
Accountable Grants issued to organisations for Nepal Earthquake Response 2015,Not related to climate
Understanding opportunities for mainstreaming climate actions within urban planning in India,Not related to climate
HUMANITASSISTANCE and P0034 for Programme Against Malnutrition Emergency Intervention,Not related to climate
Demand side accountability,Not related to climate
Humanitarian Response to Tropical Cyclone Pam in the Pacific Region,Not related to climate
Economic advocacy and knowledge development,Not related to climate
ODA eligible Administrative Costs of the Prosperity Fund Global Trade Programme’s Economic Partnership programme,Not related to climate
Sector Budget Support for Ghana Health Sector Support Programme,Not related to climate
UK Aid Direct Exit Costs,Not related to climate
Support to Humanitarian Agencies Responding to the Syria Crisis 26,Not related to climate
Case Studies on Innovation and Productivity in Low Income Countries,Not related to climate
2013 Review of Girl Hub,Not related to climate
Livestock Emergency Guidelines and Standards (Legs),Not related to climate
UK National Commission for UNESCO 2009/10,Not related to climate
Project Completion Review (PCR) estimate Consultancy expenses for Sustainable Employment and Economic Development (SEED) Programme,Not related to climate
Support for remote learning to mitigate impact of COVID19 restrictions,Not related to climate
European Development Fund,Not related to climate
Support development of first comprehensive waste management strategy to improve Mexico's waste-to-energy and resource recovery capacity,Not related to climate
Support to humanitarian agencies responding to the crisis in Syria,Not related to climate
Establishing a New Contraceptive Method,Not related to climate
EXPERT CONFERENCE: UNDERSTANDING THE INTERNATIONAL TREATY MAKING PROCESS,Not related to climate
Growth and Employment in States Programme- Support for Meat and Leather Industry (GEMS 1),Not related to climate
Improving public space and public discourse in Mostar - BiH,Not related to climate
IFPRI study on aflatoxin and child stunting links,Not related to climate
"Developing green finance in Guangdong, China in support of global climate change objectives.",Not related to climate
HUMANITASSISTANCE and P0142 for Security Sector Reform Implementation Framework,Not related to climate
Sexuality and Development  Research Programme,Not related to climate
Phalombe Teacher Training College Construction,Not related to climate
"Funding of ESRC grants on Agriculture, Finance and Innovation - Research",Not related to climate
Improving Maternal Health,Not related to climate
Monitoring of Electronic Payment Pilot of the Livelihooh Empowerment Against Poverty Programme by Catholic Relief Services,Not related to climate
UK India Tech Startup,Not related to climate
Integrated delivery in priority countries and responsive post-led facility,Not related to climate
Stabilisation Support to Sub-Saharan Africa - Somalia,Not related to climate
"Developing the use of mediation to tackle workplace disputes in China, thereby supporting labour rights and helping to reduce the incidence of strike action",Not related to climate
Poverty Reduction Budget Support Technical Assistance - (PRBS Ta),Not related to climate
Design and Appraisal for Somaliland Development Fund in Somaliland,Not related to climate
Building Judicial Capacity in Tanzania - The Slynn Foundation,Not related to climate
Legal advice on the Africa Enterprise Challenge Fund new legal entity,Not related to climate
