iati_identifier,text,label
GB-1-114367,European Development Fund,Not related to climate
GB-1-200967-101,ODI - Policies for Low Carbon Growth,Not related to climate
GB-1-113468,Sector Budget Support to National Integrated Road Programme,Not related to climate
GB-GOV-3-PF-INF-913001,"Prosperity Fund Global Infrastructure ODA programme: administrative costs. The programme will facilitate better development, design, finance, procurement and operation of major infrastructure projects.",Not related to climate
GB-1-203224-107,Strengthening quality and efficiency in the Indian healthcare system,Not related to climate
GB-1-202682,UN Systems Evaluation,Not related to climate
GB-1-202942-101,Teacher Development Programme: Appraisal & Design,Not related to climate
GB-1-102571,United Nations Economic Commission for Africa 2007-2009,Not related to climate
GB-GOV-1-400020,India Challenge Enabling Fund (ICE),Not related to climate
GB-1-114380-101,UN Peacebuilding Support Office,Not related to climate
GB-1-203243-121,Mozambique-HALO Phase 1- Demining and Mine Risk Education 2015,Not related to climate
GB-1-200430,Enhancing the Rights of the Indigenous People CSCF429,Not related to climate
GB-1-200469-115,Community Based Monitoring,Not related to climate
GB-1-203598-105,"Urban Food Security, Livelihoods & Markets Programme (UFSLM) - Monitoring & Evaluation",Not related to climate
GB-GOV-1-301497-403,Support the transition of humanitarian caseloads into inclusive social protection systems in Ukraine and Moldova,Not related to climate
GB-GOV-1-300550-102,Media Development Fund,Not related to climate
GB-1-104649,Reproductive & Child Health,Not related to climate
GB-GOV-3-PAM-CUH-000072,Build the capacity of the Cuban banking sector to decrease the potential for financial fraud in sectors of the economy vulnerable to money laundering.,Not related to climate
GB-1-205098,Humanitarian Assistance to the needs of the South Sudan Refugees in Sudan,Not related to climate
GB-1-203209,Transparency and Accountability Interventions,Not related to climate
GB-1-113650,Annual Lectures on HIV/AIDS,Not related to climate
GB-1-113378-101,PROCOFSERVICES and P0265 for Support to International Statistical System,Not related to climate
GB-GOV-3-PAP-CNF-002286,"Capacity building for Chinese LGBT rights leaders to improve the protection of human rights in China, supporting the UK's objective for safer, more inclusive and more prosperous societies",Not related to climate
GB-1-204007-104,Technical Assistance to Facilitate and Coordinate the Humanitarian Response to the Syria Crisis,Not related to climate
GB-1-106088,Project Support Unit,Not related to climate
GB-1-204657-103,"Strengthening Transparency, Accountability and Responsiveness in Ghana-Grant to Civil Society",Not related to climate
GB-1-108190,Empowering Tribal Communities of Kanwar CSCF338,Not related to climate
GB-1-202756-101,Funding for Treatment Chemicals through UNICEF,Not related to climate
GB-1-203571-101,Core support to United Nations International Childrens Emergency Fund (UNICEF) to accelerate Sanitation and Water for All in in up to 12 countries which are currently unlikely to reach the Millennium Development Goal (MDG) targets.,Not related to climate
GB-1-107669-102,Cambodia Social Marketing of Reproductive Health Commodities - Trust Fund with USAID,Not related to climate
GB-1-202740-103,"CARE International UK, Grant - Provision of Emergency Water and Sanitation in Dadaab, 2011",Not related to climate
GB-1-114186-103,School Education Quality Assurance Programme - Technical Assistance to the Government of Vietnam,Not related to climate
GB-1-205249-101,Accelerating the Sustainable Control & Elimination of Neglected Tropical Diseases (ASCEND): Lot 2 (Western and Central Africa),Not related to climate
GB-1-205238-405,FSDA - Kenya RDEL ICF Centre of Expertise,Not related to climate
GB-1-113707-101,PROCOFSERVICES and P0053 for MP Health sector support,Not related to climate
GB-1-200918,Business of Adaptation,Not related to climate
GB-1-201176-101,Overseas Territories VSO Programme,Not related to climate
GB-1-108750-102,MONITRING & Evaluation,Not related to climate
GB-1-114094-101,NOTFORPROFITORG and P0144 for Global Humanitarian Data Access and Transparency Programme,Not related to climate
GB-GOV-3-IP_GY,International Programmes in Guyana (2020 - 2022),Not related to climate
GB-GOV-1-300452-129,FCDO Partnership with TheCityUK to Support the Nairobi International Financial Centre Authority,Not related to climate
GB-1-205053-102,Research to improve shelters for responding to floods in Pakistan,Not related to climate
GB-1-204805-112,Strengthening Ebola Virus Disease Operational Readiness and Preparedness in Tanzania.,Not related to climate
GB-GOV-1-301542,UK Global Health Security Research & Development Programme.,Not related to climate
GB-1-205048-102,Pilot Project - Governance through Education Programme,Not related to climate
GB-1-202565-101,2011/2 Humanitarian Funding for International NGO Consortium in Yemen,Not related to climate
GB-1-205073-101,Support to the UN Population Fund to prevent and counter the effects of Gender Based Violence and provide psycho-social and reproductive health care to woman and girls in Syria,Not related to climate
GB-1-102461-103,MULTILATORGANISATION and P0007 for Comprehensive Africa Agriculture Development Programme,Not related to climate
GB-1-203428-106,Strengthening Institutional Support to Ministry of Gender,Not related to climate
GB-GOV-3-CSSF-06-000006,Libya CSSF Programme,Not related to climate
"GB-GOV-3-Human Rights, Democracy, and the Rule of Law-TH","Human Rights, Democracy, and the Rule of Law in Thailand",Not related to climate
GB-1-113960-101,PROCOFSERVICES and P0021 for Technical Support to Social Protection,Not related to climate
GB-GOV-3-CSSF-10-000002,Western Balkans Stability CSSF Programme,Not related to climate
GB-GOV-3-PPY-CHN-1618,Support the development of social and environmental safeguards in financial institutions in China,Not related to climate
GB-GOV-1-301049-404,"Partnership Fund: Facilitating government to government dialogues on Science, Tech, and Innovation (ST&I)",Not related to climate
GB-1-205058-102,Jobs and Economic Transformation (JET),Not related to climate
GB-1-203067-101,"AGRI-TECH CATALYST funds , through open competition, small and medium sized enterprises and researchers to work individually or collaboratively to develop new solutions to global food security challenges.",Not related to climate
GB-1-102415,Islamic Relief PPA,Not related to climate
GB-GOV-1-300616-102,"Enhancing effective development cooperation between the UK, Brazil and Sub-Saharan African partners",Not related to climate
GB-GOV-3-PF-INF-921007,"Global Infrastructure Colombia project staff costs  for Infrastructure & Projects Authority.  The programme will facilitate better development, design, finance, procurement & operation of infrastructure project",Not related to climate
GB-1-114172,Tanzania Media Fund (TMF),Not related to climate
GB-1-105558,Promoting the Rights of PLW HIV/AIDS CSCF329,Not related to climate
GB-GOV-3-IP_KG,International Programmes in Kyrgyzstan (2020 - 2022),Not related to climate
GB-1-114075-101,DFID-Wellcome Trust Health Research Capacity Strengthening Malawi Initiative,Not related to climate
GB-GOV-1-300358-411,Anticipating New Conflict: A three-year global risk assessment,Not related to climate
GB-1-200430-101,"Accountable Grant CSCF429: Enhancing the Rights of the Indigenous People, Cameroon",Not related to climate
GB-1-201433-107,NIAF 2: Urbanisation and Infrastructure Research & Evaluation Programme,Not related to climate
GB-1-113431-102,DFID/SIDA Governance Programme (Reviews),Not related to climate
GB-1-104568-102,MULTILATORGANISATION and P0040 for Support for National Revenue Authority,Not related to climate
GB-GOV-1-301457-419,Improving public space and public discourse in Mostar - BiH,Not related to climate
GB-GOV-3-FDEA-BO,Frontline Diplomatic Enabling Activity in Bolivia,Not related to climate
GB-1-201626,"Montserrat Topographic Surveys, Mapping and Modelling",Not related to climate
GB-1-205181-117,Anti-Corruption Evidence research RED,Not related to climate
GB-GOV-3-PF-JFU-CPG-GEN-000,Central Administrative Costs of Prosperity Fund Programmes,Not related to climate
GB-GOV-3-PAF-SAP-150003,Promoting healthy and sustainable livelihoods among disadvantaged youth in South Africa,Not related to climate
GB-1-204232-109,Support to the Contractor General's Office to enable the delivery of anti-corruption initiatives geared towards youths.,Not related to climate
GB-1-204237-101,Growth Resources Opportunities and Wealth creation in Bihar,Not related to climate
GB-1-203313-101,Financial Aid - Revenue Authority Common Fund,Not related to climate
GB-1-201638,UK Core Support to World Food Programme 2011 - 2015,Not related to climate
GB-1-200854-103,Capacity Building for Microfinance,Not related to climate
GB-1-202035-108,UK Aid Direct Exit Costs,Not related to climate
GB-GOV-3-Economic Security and Opportunity-SB,Economic Security and Opportunity in Solomon Islands,Not related to climate
GB-1-202491-105,Support to Annual Status of Education Report (ASER) 2013 -2015,Not related to climate
GB-GOV-1-300396-118,UNWomen Data 2021-22,Not related to climate
GB-GOV-1-301208,Support to ASEAN Coordinating Centre for Humanitarian Assistance on disaster management (AHA Centre),Not related to climate
GB-1-203958,Strengthening Services and Support Available to Survivors of Acid and Burns Violence,Not related to climate
GB-GOV-1-300037-104,Deepening Democratic Governance Programme-Support to Civil Society,Not related to climate
GB-1-201400,Evidence Building and Synthesis Research,Not related to climate
GB-1-200500-101,Core contribution to Vietnam Development Action Plan Pilott,Not related to climate
GB-GOV-1-301527-101,"Resilience building, integrated livelihoods and service delivery enhancement in Afghanistan (RISE)",Not related to climate
GB-1-200928,"OTEP TDC601: Overseas Territories Environment Programme , Preparation for Eradication of Mice From Gough Island",Not related to climate
GB-GOV-1-300858-101,Third Party Monitoring and Learning for Somalia Portfolio,Not related to climate
GB-1-106609,Water & Sanitation Sector Project (Guywasp),Not related to climate
GB-GOV-1-300601-104,Sierra Leone Investment Conference,Not related to climate
GB-1-204838-104,Support to emergency Ebola medical treatment in Sierra Leone and Liberia by MSF,Not related to climate
GB-1-106014-101,NONBUDSUPPFINAID and P0034 for Public Service Management,Not related to climate
